,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Owner,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Dealer,Seller_Type_Individual,Transmission_Automatic,Transmission_Manual
0,ritz,2014,3.35,5.59,27000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,sx4,2013,4.75,9.54,43000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2,ciaz,2017,7.25,9.85,6900,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
3,wagon r,2011,2.85,4.15,5200,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
4,swift,2014,4.6,6.87,42450,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
5,vitara brezza,2018,9.25,9.83,2071,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6,ciaz,2015,6.75,8.12,18796,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
7,s cross,2015,6.5,8.61,33429,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
8,ciaz,2016,8.75,8.89,20273,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
9,ciaz,2015,7.45,8.92,42367,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
10,alto 800,2017,2.85,3.6,2135,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
11,ciaz,2015,6.85,10.38,51000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
12,ciaz,2015,7.5,9.94,15000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
13,ertiga,2015,6.1,7.71,26000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
14,dzire,2009,2.25,7.21,77427,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
15,ertiga,2016,7.75,10.79,43000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
16,ertiga,2015,7.25,10.79,41678,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
17,ertiga,2016,7.75,10.79,43000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
18,wagon r,2015,3.25,5.09,35500,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
19,sx4,2010,2.65,7.98,41442,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
20,alto k10,2016,2.85,3.95,25000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
21,ignis,2017,4.9,5.71,2400,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
22,sx4,2011,4.4,8.01,50000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
23,alto k10,2014,2.5,3.46,45280,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
24,wagon r,2013,2.9,4.41,56879,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
25,swift,2011,3,4.99,20000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
26,swift,2013,4.15,5.87,55138,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
27,swift,2017,6,6.49,16200,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
28,alto k10,2010,1.95,3.95,44542,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
29,ciaz,2015,7.45,10.38,45000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
30,ritz,2012,3.1,5.98,51439,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
31,ritz,2011,2.35,4.89,54200,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
32,swift,2014,4.95,7.49,39000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
33,ertiga,2014,6,9.95,45000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
34,dzire,2014,5.5,8.06,45000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
35,sx4,2011,2.95,7.74,49998,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
36,dzire,2015,4.65,7.2,48767,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
37,800,2003,0.35,2.28,127000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
38,alto k10,2016,3,3.76,10079,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
39,sx4,2003,2.25,7.98,62000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
40,baleno,2016,5.85,7.87,24524,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
41,alto k10,2014,2.55,3.98,46706,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
42,sx4,2008,1.95,7.15,58000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
43,dzire,2014,5.5,8.06,45780,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
44,omni,2012,1.25,2.69,50000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
45,ciaz,2014,7.5,12.04,15000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
46,ritz,2013,2.65,4.89,64532,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
47,wagon r,2006,1.05,4.15,65000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
48,ertiga,2015,5.8,7.71,25870,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
49,ciaz,2017,7.75,9.29,37000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
52,innova,2017,18,19.77,15000,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
54,innova,2005,2.75,10.21,90000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
55,corolla altis,2009,3.6,15.04,70000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
56,etios cross,2015,4.5,7.27,40534,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
57,corolla altis,2010,4.75,18.54,50000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
58,etios g,2014,4.1,6.8,39485,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
60,corolla altis,2013,6.95,18.61,40001,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
61,etios cross,2015,4.5,7.7,40588,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
65,etios liva,2014,4.75,6.95,45000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
67,fortuner,2010,9.25,20.45,59000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
68,corolla altis,2011,4.35,13.74,88000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
69,corolla altis,2016,14.25,20.91,12000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
70,etios liva,2014,3.95,6.76,71000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
71,corolla altis,2011,4.5,12.48,45000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
72,corolla altis,2013,7.45,18.61,56001,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
73,etios liva,2011,2.65,5.71,43000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
74,etios cross,2014,4.9,8.93,83000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
75,etios g,2015,3.95,6.8,36000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
76,corolla altis,2013,5.5,14.68,72000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
77,corolla,2004,1.5,12.35,135154,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
78,corolla altis,2010,5.25,22.83,80000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
80,corolla altis,2016,14.73,14.89,23000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
81,etios gd,2015,4.75,7.85,40000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
83,innova,2015,12.5,13.46,38000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
84,innova,2005,3.49,13.46,197176,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
87,corolla altis,2012,5.9,13.74,56000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
88,etios liva,2013,3.45,6.05,47000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
89,etios g,2014,4.75,6.76,40000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
90,corolla altis,2009,3.8,18.61,62000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
91,innova,2014,11.25,16.09,58242,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
92,innova,2005,3.51,13.7,75000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
94,corolla altis,2008,4,22.78,89000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
95,corolla altis,2012,5.85,18.61,72000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
97,corolla altis,2017,17,18.64,8700,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
98,corolla altis,2013,7.05,18.61,45000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
99,fortuner,2010,9.65,20.45,50024,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
100,Royal Enfield Thunder 500,2016,1.75,1.9,3000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
101,UM Renegade Mojave,2017,1.7,1.82,1400,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
102,KTM RC200,2017,1.65,1.78,4000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
103,Bajaj Dominar 400,2017,1.45,1.6,1200,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
104,Royal Enfield Classic 350,2017,1.35,1.47,4100,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
105,KTM RC390,2015,1.35,2.37,21700,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
106,Hyosung GT250R,2014,1.35,3.45,16500,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
107,Royal Enfield Thunder 350,2013,1.25,1.5,15000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
108,Royal Enfield Thunder 350,2016,1.2,1.5,18000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
109,Royal Enfield Classic 350,2017,1.2,1.47,11000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
110,KTM RC200,2016,1.2,1.78,6000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
111,Royal Enfield Thunder 350,2016,1.15,1.5,8700,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
112,KTM 390 Duke ,2014,1.15,2.4,7000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
113,Mahindra Mojo XT300,2016,1.15,1.4,35000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
114,Royal Enfield Classic 350,2015,1.15,1.47,17000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
115,Royal Enfield Classic 350,2015,1.11,1.47,17500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
116,Royal Enfield Classic 350,2013,1.1,1.47,33000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
117,Royal Enfield Thunder 500,2015,1.1,1.9,14000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
118,Royal Enfield Classic 350,2015,1.1,1.47,26000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
119,Royal Enfield Thunder 500,2013,1.05,1.9,5400,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
120,Bajaj Pulsar RS200,2016,1.05,1.26,5700,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
121,Royal Enfield Thunder 350,2011,1.05,1.5,6900,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
122,Royal Enfield Bullet 350,2016,1.05,1.17,6000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
123,Royal Enfield Classic 350,2013,1,1.47,46500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
124,Royal Enfield Classic 500,2012,0.95,1.75,11500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
125,Royal Enfield Classic 500,2009,0.9,1.75,40000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
126,Bajaj Avenger 220,2017,0.9,0.95,1300,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
127,Bajaj Avenger 150,2016,0.75,0.8,7000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
128,Honda CB Hornet 160R,2017,0.8,0.87,3000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
129,Yamaha FZ S V 2.0,2017,0.78,0.84,5000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
130,Honda CB Hornet 160R,2017,0.75,0.87,11000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
131,Yamaha FZ 16,2015,0.75,0.82,18000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
132,Bajaj Avenger 220,2017,0.75,0.95,3500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
133,Bajaj Avenger 220,2016,0.72,0.95,500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
134,TVS Apache RTR 160,2017,0.65,0.81,11800,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
135,Bajaj Pulsar 150,2015,0.65,0.74,5000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
136,Honda CBR 150,2014,0.65,1.2,23500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
137,Hero Extreme,2013,0.65,0.787,16000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
138,Honda CB Hornet 160R,2016,0.6,0.87,15000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
139,Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
140,Honda CBR 150,2013,0.6,1.2,32000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
141,Bajaj Avenger 150 street,2016,0.6,0.8,20000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
142,Yamaha FZ  v 2.0,2015,0.6,0.84,29000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
143,Yamaha FZ  v 2.0,2016,0.6,0.84,25000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
144,Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
145,TVS Apache RTR 160,2012,0.6,0.81,19000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
146,Hero Extreme,2014,0.55,0.787,15000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
147,Yamaha FZ S V 2.0,2015,0.55,0.84,58000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
148,Bajaj Pulsar 220 F,2010,0.52,0.94,45000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
149,Bajaj Pulsar 220 F,2016,0.51,0.94,24000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
150,TVS Apache RTR 180,2011,0.5,0.826,6000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
151,Hero Passion X pro,2016,0.5,0.55,31000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
