,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Owner,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Dealer,Seller_Type_Individual,Transmission_Automatic,Transmission_Manual
152,Bajaj Pulsar NS 200,2012,0.5,0.99,13000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
153,Bajaj Pulsar NS 200,2013,0.5,0.99,45000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
154,Yamaha Fazer ,2014,0.5,0.88,8000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
155,Honda Activa 4G,2017,0.48,0.51,4300,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
156,TVS Sport ,2017,0.48,0.52,15000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
157,Yamaha FZ S V 2.0,2015,0.48,0.84,23000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
158,Honda Dream Yuga ,2017,0.48,0.54,8600,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
159,Honda Activa 4G,2017,0.45,0.51,4000,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
160,Bajaj Avenger Street 220,2011,0.45,0.95,24000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
161,TVS Apache RTR 180,2014,0.45,0.826,23000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
162,Bajaj Pulsar NS 200,2012,0.45,0.99,14500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
163,Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
164,Hero Splender iSmart,2016,0.45,0.54,14000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
165,Activa 3g,2016,0.45,0.54,500,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
166,Hero Passion Pro,2016,0.45,0.55,1000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
167,TVS Apache RTR 160,2014,0.42,0.81,42000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
168,Honda CB Trigger,2013,0.42,0.73,12000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
169,Hero Splender iSmart,2015,0.4,0.54,14000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
170,Yamaha FZ S ,2012,0.4,0.83,5500,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
171,Hero Passion Pro,2015,0.4,0.55,6700,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
172,Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
173,Activa 4g,2017,0.4,0.51,1300,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
174,Honda CB Unicorn,2015,0.38,0.72,38600,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
175,Hero Honda CBZ extreme,2011,0.38,0.787,75000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
176,Honda Karizma,2011,0.35,1.05,30000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
177,Honda Activa 125,2016,0.35,0.57,24000,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
178,TVS Jupyter,2014,0.35,0.52,19000,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
179,Honda Karizma,2010,0.31,1.05,213000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
180,Hero Honda Passion Pro,2012,0.3,0.51,60000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
181,Hero Splender Plus,2016,0.3,0.48,50000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
182,Honda CB Shine,2013,0.3,0.58,30000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
183,Bajaj Discover 100,2013,0.27,0.47,21000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
184,Bajaj Pulsar 150,2008,0.25,0.75,26000,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
185,Suzuki Access 125,2008,0.25,0.58,1900,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
186,TVS Wego,2010,0.25,0.52,22000,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
187,Honda CB twister,2013,0.25,0.51,32000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
188,Hero Glamour,2013,0.25,0.57,18000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
189,Hero Super Splendor,2005,0.2,0.57,55000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
190,Bajaj Pulsar 150,2008,0.2,0.75,60000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
191,Bajaj Discover 125,2012,0.2,0.57,25000,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
192,Hero Hunk,2007,0.2,0.75,49000,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
193,Hero  Ignitor Disc,2013,0.2,0.65,24000,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
194,Hero  CBZ Xtreme,2008,0.2,0.787,50000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
195,Bajaj  ct 100,2015,0.18,0.32,35000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
196,Activa 3g,2008,0.17,0.52,500000,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
197,Honda CB twister,2010,0.16,0.51,33000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
198,Bajaj Discover 125,2011,0.15,0.57,35000,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
199,Honda CB Shine,2007,0.12,0.58,53000,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
200,Bajaj Pulsar 150,2006,0.1,0.75,92233,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
201,i20,2010,3.25,6.79,58000,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
202,grand i10,2015,4.4,5.7,28200,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
203,i10,2011,2.95,4.6,53460,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
204,eon,2015,2.75,4.43,28282,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
205,grand i10,2016,5.25,5.7,3493,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
206,xcent,2017,5.75,7.13,12479,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
207,grand i10,2015,5.15,5.7,34797,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
208,i20,2017,7.9,8.1,3435,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
209,grand i10,2015,4.85,5.7,21125,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
210,i10,2012,3.1,4.6,35775,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
211,elantra,2015,11.75,14.79,43535,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
212,creta,2016,11.25,13.6,22671,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
213,i20,2011,2.9,6.79,31604,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
214,grand i10,2017,5.25,5.7,20114,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
215,verna,2012,4.5,9.4,36100,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
216,eon,2016,2.9,4.43,12500,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
217,eon,2016,3.15,4.43,15000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
218,verna,2014,6.45,9.4,45078,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
219,verna,2012,4.5,9.4,36000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
220,eon,2017,3.5,4.43,38488,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
221,i20,2013,4.5,6.79,32000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
222,i20,2014,6,7.6,77632,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
223,verna,2015,8.25,9.4,61381,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
224,verna,2013,5.11,9.4,36198,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
225,i10,2011,2.7,4.6,22517,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
226,grand i10,2015,5.25,5.7,24678,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
227,i10,2011,2.55,4.43,57000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
228,verna,2012,4.95,9.4,60000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
229,i20,2012,3.1,6.79,52132,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
230,verna,2013,6.15,9.4,45000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
231,verna,2017,9.25,9.4,15001,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
232,elantra,2015,11.45,14.79,12900,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
233,grand i10,2013,3.9,5.7,53000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
234,grand i10,2015,5.5,5.7,4492,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
235,verna,2017,9.1,9.4,15141,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
236,eon,2016,3.1,4.43,11849,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
237,creta,2015,11.25,13.6,68000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
238,verna,2013,4.8,9.4,60241,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
239,eon,2012,2,4.43,23709,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
240,verna,2012,5.35,9.4,32322,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
241,xcent,2015,4.75,7.13,35866,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
242,xcent,2014,4.4,7.13,34000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
243,i20,2016,6.25,7.6,7000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
244,verna,2013,5.95,9.4,49000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
245,verna,2012,5.2,9.4,71000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
246,i20,2012,3.75,6.79,35000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
247,verna,2015,5.95,9.4,36000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
248,i10,2013,4,4.6,30000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
249,i20,2016,5.25,7.6,17000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
250,creta,2016,12.9,13.6,35934,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
251,city,2013,5,9.9,56701,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
252,brio,2015,5.4,6.82,31427,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
253,city,2014,7.2,9.9,48000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
254,city,2013,5.25,9.9,54242,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
255,brio,2012,3,5.35,53675,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
256,city,2016,10.25,13.6,49562,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
257,city,2015,8.5,13.6,40324,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
258,city,2015,8.4,13.6,25000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
259,amaze,2014,3.9,7,36054,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
260,city,2016,9.15,13.6,29223,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
261,brio,2016,5.5,5.97,5600,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
262,amaze,2015,4,5.8,40023,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
263,jazz,2016,6.6,7.7,16002,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
264,amaze,2015,4,7,40026,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
265,jazz,2017,6.5,8.7,21200,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
266,amaze,2014,3.65,7,35000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
267,city,2016,8.35,9.4,19434,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
268,brio,2017,4.8,5.8,19000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
269,city,2015,6.7,10,18828,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
270,city,2011,4.1,10,69341,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
271,city,2009,3,10,69562,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
272,city,2015,7.5,10,27600,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
273,jazz,2010,2.25,7.5,61203,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
274,brio,2014,5.3,6.8,16500,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
275,city,2016,10.9,13.6,30753,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
276,city,2015,8.65,13.6,24800,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
277,city,2015,9.7,13.6,21780,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
278,jazz,2016,6,8.4,4000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
279,city,2014,6.25,13.6,40126,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
280,brio,2015,5.25,5.9,14465,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
281,city,2006,2.1,7.6,50456,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
282,city,2014,8.25,14,63000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
283,city,2016,8.99,11.8,9010,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
284,brio,2013,3.5,5.9,9800,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
285,jazz,2016,7.4,8.5,15059,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
286,jazz,2016,5.65,7.9,28569,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
287,amaze,2015,5.75,7.5,44000,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
288,city,2015,8.4,13.6,34000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
289,city,2016,10.11,13.6,10980,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
290,amaze,2014,4.5,6.4,19000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
291,brio,2015,5.4,6.1,31427,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
292,jazz,2016,6.4,8.4,12000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
293,city,2010,3.25,9.9,38000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
294,amaze,2014,3.75,6.8,33019,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
295,city,2015,8.55,13.09,60076,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
296,city,2016,9.5,11.6,33988,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
297,brio,2015,4,5.9,60000,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
298,city,2009,3.35,11,87934,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
299,city,2017,11.5,12.5,9000,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
300,brio,2016,5.3,5.9,5464,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
